1,2635.169
2,3509.747
3,2994.011
4,4226.67
5,2900.433
6,6121.816
7,2390.569
8,2576.62
9,3361.56
10,2389.753
11,3572.593
12,3935.712
13,3340.95
14,2475.605
15,2314.498
16,4500.726
17,1741.216
18,2553.074
19,2072.041
20,2183.9
21,2628.382
22,2496.875
23,2349.57
24,2992.483
25,3428.931
26,25921.293
27,3809.002
28,2653.39
29,2588.42
30,3064.791
31,2613.788
32,3277.299
33,3220.975
34,2338.296
35,4411.269
36,2430.262
37,2139.83
38,2704.7
39,2650.866
40,2296.511
41,3775.958
42,2805.333
43,2781.246
44,3494.729
45,3289.208
46,2764.849
47,4802.152
48,3848.085
49,6190.706
50,2993.262
51,2660.999
52,2605.528
53,4742.012
54,2707.224
55,2621.455
56,3223.593
57,2289.328
58,3222.367
59,1662.756
60,7310.011
61,6718.969
62,3556.374
63,2121.06
64,3518.973
65,2811.119
66,5496.285
67,3325.077
68,5291.686
69,4583.27
70,3644.781
71,5328.748
72,3396.457
73,1394.369
74,2469.837
75,2920.792
76,2870.648
77,2764.698
78,2459.678
79,3273.995
80,3573.785
81,2452.563
82,3066.402
83,4857.465
84,2572.904
85,5083.445
86,3307.856
87,4707.745
88,4462.802
89,6769.269
90,3770.207
91,4899.552
92,2154.951
93,5567.394
94,9956.118
95,2438.431
96,8288.941
97,2611.373
98,38037.141
99,3344.414
100,21757.66
101,3508.775
102,3258.887
103,20067.866
104,7740.816
105,2156.409
106,3569.795
107,7013.296
108,25876.699
109,21560.589
110,2695.799
111,2230.987
112,3807.139
113,46328.249
114,2528.069
115,2167.302
116,17504.508
117,2183.735
118,2157.399
119,2732.663
120,3531.523
121,2444.858
122,4356.229
123,3345.22
124,5633.779
125,25835.959
126,2178.434
127,2655.864
128,2311.88
129,7096.351
130,10026.632
131,16306.406
132,3055.123
133,3171.498
134,19767.532
135,3288.398
136,5077.321
137,9267.933
138,42076.543
139,3661.957
140,13443.296
141,23500.079
142,2201.063
143,26104.65
144,6839.577
